t theta theta1 theta2 omega omega1 omega2
0.000000 0 30.5 0 0 0 0
0.010000 0.0686898 30.4781 -0.0171717 0.239853 -0.0765704 -0.0599583
0.020000 0.275032 30.4122 -0.0687464 0.480649 -0.153553 -0.120121
0.030000 0.619811 30.302 -0.154892 0.723207 -0.231332 -0.180655
0.040000 1.10421 30.1469 -0.27585 0.96807 -0.310227 -0.241645
0.050000 1.72959 29.9462 -0.431872 1.21527 -0.390433 -0.303023
0.060000 2.49711 29.6992 -0.623106 1.464 -0.471936 -0.36448
0.070000 3.40709 29.4052 -0.849422 1.71204 -0.554372 -0.425327
0.080000 4.45803 29.064 -1.11014 1.95508 -0.636827 -0.484307
0.090000 5.64513 28.6758 -1.40366 2.18583 -0.717585 -0.539389
0.100000 6.95836 28.2425 -1.72693 2.39317 -0.793885 -0.587601
0.110000 8.38019 27.7677 -2.07495 2.56216 -0.861844 -0.625078
0.120000 9.88376 27.2574 -2.44035 2.67561 -0.916806 -0.647558
0.130000 11.4326 26.7204 -2.81343 2.71794 -0.954318 -0.651425
0.140000 12.983 26.1677 -3.18293 2.68033 -0.971514 -0.635003
0.150000 14.489 25.6111 -3.5374 2.56426 -0.968171 -0.599335
0.160000 15.9085 25.0617 -3.86669 2.38082 -0.946693 -0.547828
0.170000 17.2074 24.529 -4.16301 2.14636 -0.911075 -0.485017
0.180000 18.3615 24.0196 -4.42116 1.87746 -0.865574 -0.41525
0.190000 19.3549 23.5383 -4.63817 1.58766 -0.813794 -0.341904
0.200000 20.1786 23.0878 -4.8127 1.28642 -0.758341 -0.267194
0.210000 20.828 22.6697 -4.94433 0.979494 -0.70086 -0.192327
0.220000 21.3005 22.2849 -5.03315 0.669801 -0.642235 -0.117763
0.230000 21.5951 21.9339 -5.07933 0.358262 -0.582804 -0.0434493
0.240000 21.7106 21.6172 -5.08291 0.0444715 -0.522533 0.0309988
0.250000 21.6454 21.3353 -5.04366 -0.272847 -0.461141 0.106184
0.260000 21.397 21.089 -4.96095 -0.595523 -0.398197 0.182846
0.270000 20.9616 20.8794 -4.8337 -0.925684 -0.333197 0.261803
0.280000 20.3344 20.7077 -4.66035 -1.26546 -0.265654 0.34388
0.290000 19.5093 20.5755 -4.43891 -1.6165 -0.195237 0.42979
0.300000 18.4798 20.4845 -4.16704 -1.97907 -0.122029 0.519908
0.310000 17.2398 20.4361 -3.8424 -2.35031 -0.0469751 0.613821
0.320000 15.7865 20.4306 -3.46329 -2.72129 0.0273433 0.709536
0.330000 14.1251 20.4663 -3.02987 -3.0726 0.0956339 0.802292
0.340000 12.2757 20.5373 -2.54613 -3.37042 0.149013 0.883395
0.350000 10.2819 20.6319 -2.02214 -3.56874 0.175827 0.940611
0.360000 8.21351 20.7318 -1.47514 -3.62517 0.165911 0.962137
0.370000 6.15787 20.8145 -0.927427 -3.52517 0.116701 0.943109
0.380000 4.19959 20.8593 -0.40123 -3.29173 0.0352229 0.888593
0.390000 2.40286 20.851 0.0861685 -2.96897 -0.0665491 0.809675
0.400000 0.80635 20.7813 0.524052 -2.59882 -0.177724 0.717348
0.410000 -0.571621 20.6469 0.907119 -2.20964 -0.291214 0.619301
0.420000 -1.725 20.4478 1.23345 -1.81642 -0.403496 0.519767
0.430000 -2.65346 20.185 1.50279 -1.42495 -0.513436 0.420512
